Settlement Location,InferredLocationType,est_Latitude,est_Longitude
OPPD.NO2,Resource,41.32173724713572,-95.94534646654074
OPPD_NC_HST,Load,40.398374905093824,-95.50534735475918
OPPD_NO_HST,Load,41.34777941919913,-95.92471855911799
OPPD_OPPD,Load,41.21884535228446,-95.95609915129361
OPPD_PAPIO,Load,41.06688199577062,-95.91290885540526
OPPD_PAPIO2,Load,41.06758747502275,-95.90615112511553
SARPY_1,Resource,41.16317903680608,-95.9433935282213
SARPY_2,Resource,41.200307587522936,-95.9561148891291
SARPY_3,Resource,41.13549067966201,-95.98652074739432
SARPY_4,Resource,41.146706699114425,-95.98260311926678
SARPY_5,Resource,41.14987735708812,-95.96449242354502
SPS.VOLT.0084,Resource,36.55740640698973,-100.8310335272154
TPW_PETERSBURG,Resource,41.861878826146096,-97.96997959602125
PIGGOTT,Load,37.60258080968121,-92.34551022578415
HQST,Interface,41.00438336588622,-95.83199928479593
ISNE,Interface,41.00896726938835,-95.81431941680977
NBSO,Interface,41.003263376378996,-95.80198740999137
NSSO,Interface,41.0001332829026,-95.81583854174674
NYIS,Interface,40.99620011545468,-95.83473435355735
PJM,Interface,41.00740260877946,-95.83392662938309
CSWS.VOLT.0003,Resource,32.81400390200669,-96.95203077158081
CSWS.VOLT.0090,Resource,32.82256157557916,-97.00241996565298
OKGE.VOLT.0030,Resource,35.43247911883284,-96.88131689668086
OVEC,Interface,40.00160404492369,-94.7524531412881
CSWS.VOLT.0080,Resource,36.32326129116866,-95.23407919781555
KCPL.VOLT.0011,Resource,38.890641768394694,-94.95977924929197
POPLARBLUFF,Load,38.25275996250084,-92.3046690334931
CSWS.VOLT.0056,Resource,36.30281583829328,-95.01638869592989
PSLO_AECI_CSWS,Load,36.35408739526971,-95.070224039897
PSLO_AECI_MPS,Load,39.50472231111505,-95.11264481626931
PSLO_AECI_OKGE,Load,36.16644963190332,-95.4604965075818
PSLO_AECI_WFEC,Load,35.58145486201616,-95.65974306049644
PSLO_EES_CSWS,Load,36.10824974831338,-94.90626956563995
PSLO_MISO_WAUE_ALTM,Load,42.21544432219415,-96.1165841536494
PSLO_MISO_WAUE_MDUM_NITS,Load,41.64709346888299,-95.01214231789395
PSLO_MISO_WAUE_MECB,Load,42.15014934975367,-95.2960843210383
PSLO_MISO_WAUE_MPCN,Load,42.15198281307448,-95.21928184904101
PSLO_MISO_WAUE_OTPW,Load,40.46203116438182,-98.54384284817682
PSLO_MISO_WAUE_RPGI,Load,42.187717582402726,-95.05667833442055
SPS.VOLT.0001,Resource,35.37161256700726,-100.8866254190554
RCEAST,Interface,43.96148434686213,-104.11019822245234
OKGE.VOLT.0068,Resource,35.45010963896007,-96.89121978970249
KCPL.VOLT.0007,Resource,38.818674984219186,-95.1048048433477
KCPL.VOLT.0097,Resource,38.802571403474005,-95.12076597798813
SCSE,Interface,41.157945549476196,-103.05952698742065
CSWS.VOLT.0091,Resource,32.93772844868422,-97.02279032139387
KMEA_EMP2_GARC1,Resource,37.959272365075,-100.9215031611181
KMEA_EMP2_GARC2,Resource,37.9798548430029,-100.86919400164115
KMEA_EMP2_GARC3,Resource,37.972444572427534,-100.91348729002694
KMEA_EMP2_RUSS1,Resource,38.890075841575005,-98.82712087795109
KMEA_EMP2_RUSS2,Resource,38.90154286373836,-98.82651883264477
MKECCIM_UN1,Resource,37.1739100840821,-100.75177213355364
MKECCIM_UN2,Resource,37.18425805630455,-100.75059119701918
MKECCLIFTON_UN1,Resource,39.584110977560904,-97.29388287557225
MKECJUDLR_UN4,Resource,37.700197054324654,-99.98463506902894
MKECMULGRN_UN3,Resource,38.4443390822635,-98.86524374427049
MKECSHOOTSTAR,Resource,37.50853617435906,-99.42082468060606
MKEC_KPP,Load,38.21832499842217,-98.72505330760177
MKEC_KPP_GBURG,Resource,37.51731739876543,-99.34081325080312
MKEC_KP_KINGIC4,Resource,37.36761227943366,-98.0411111591998
MKEC_KP_KINGIC6,Resource,37.61123683248962,-98.23670749538019
MKEC_KP_KINGIC7,Resource,37.65918466314276,-98.22566246150603
MKEC_KP_KINGIC8,Resource,37.59364674783841,-98.24880248297784
MKEC_KP_KINGIC9,Resource,37.60035407521073,-98.24499871962522
SECI.BLOO.CPBLOOM,Resource,37.52662279982232,-99.8736307731006
SECI.CBN3.CB3WIND,Resource,37.42423389638171,-99.96112296836449
SECI.GCMB.CIMARRONBEND1,Resource,37.347773262751545,-99.98625991197217
SECI.JCSOLAR,Resource,37.53730880370154,-101.80499387498818
SECI.KACY.CIM,Resource,37.33827963641737,-99.98491188045327
SECI.KCPS.CIMARRON,Resource,37.87843768002072,-100.2826603616291
SECI.KCPS.SPEARVILLE,Resource,37.891462003560534,-99.77676299211778
SECI.KCPS.SPEARVILLE3,Resource,37.85469864583179,-99.84668293147455
SECI.PRAT.PRAT5,Resource,37.71974835842817,-98.73994650151023
SECI.PRTT.PRATT5,Hub,37.78394933475287,-98.48856099650703
SECI.RUBART.RT01,Resource,37.578837232752456,-101.0794241659952
SECI.RUBART.RT02,Resource,37.56838223453567,-101.07397758845823
SECI.RUBART.RT03,Resource,37.57682730267134,-101.1120182142929
SECI.RUBART.RT04,Resource,37.571272469008235,-101.06962109345488
SECI.RUBART.RT05,Resource,37.54533922716431,-101.1095040083281
SECI.RUBART.RT06,Resource,37.582308246478256,-101.07222093231952
SECI.SEPC.SECIRT07,Resource,37.51915065560713,-101.08948035978408
SECI.SEPC.SECIRT08,Resource,37.56252341236257,-101.0894636560283
SECI.SEPC.SECIRT09,Resource,37.56074806036131,-101.07146723665493
SECI.SEPC.SECIRT10,Resource,37.61440179863319,-101.08540502445945
SECI.SEPC.SECIRT11,Resource,37.59271563852551,-101.11317717642561
SECI.SEPC.SECIRT12,Resource,37.5510387292895,-101.12376629477826
SECI.SUEZ.EFRK,Resource,39.32260060010996,-101.04443764653283
SECI.SUEZ.ISTR,Resource,37.66431115941742,-99.97378026879673
SECI.SUEZ.SLFR,Resource,39.317104080203585,-101.09078350135962
SECI.UCU.ENSIGNWIND,Resource,37.58555782068595,-100.2884610395935
SECI.UCU.GRAYWIND,Resource,37.62972980097693,-100.34767773337124
SECIGRDNCT1UN2,Resource,37.93570809013415,-100.88999196180505
SECIGRDNCT1UN3,Resource,37.96851526283922,-100.87146319969791
SECIGRDNCT1UN4,Resource,37.98287540502034,-100.89629689386281
SECIGRDNCT1UN5,Resource,37.99890323552319,-100.89035678841742
SECIHOLCOM1UN1,Resource,37.92383378111705,-100.97950126170439
SECI_CIMARRON,Resource,37.85474035427722,-100.27710249661682
SECI_REMC_PRTT,Hub,37.759787073251985,-98.49979280054922
SECI_SECI,Load,37.61565128144616,-100.4503130525668
SECI_SMOKY,Resource,38.8909199336822,-98.16949464279303
SECI_SMOKY2,Resource,38.897741756154296,-98.15999857850431
SECI_TYRE_PRAT,Load,37.73709598140069,-98.52375641709274
WR.CPW,Resource,38.4754029539736,-101.14753786068222
WR.FRW.1,Resource,37.37521043406555,-98.47926075492244
WR.FRW.2,Resource,37.36719121547196,-98.27913052593871
WR.IWW1.GEN,Resource,37.81918468764734,-99.80199768409022
WR.MWW,Resource,38.63267730839662,-97.13564946429949
WR.WPW,Resource,37.83949022866984,-99.6671379250656
SGE,Interface,41.862189855037535,-103.97848549136567
KCPL.VOLT.0010,Resource,38.95161590412746,-95.17225847526356
OKGE.VOLT.0035,Resource,35.204187481396765,-95.06645611524424
OKGE.VOLT.0064,Resource,35.47981838849824,-97.1933685708083
OKGE.VOLT.0065,Resource,36.2188857357197,-95.37347587763925
SPS.VOLT.0085,Resource,36.572758672265245,-101.38121717639872
WR.VOLT.0015,Resource,38.410717235033744,-97.40582258477183
WR.VOLT.0094,Resource,38.449093014090224,-97.44206425807984
AEC,Interface,37.829277681478246,-92.03626194926224
CSWS.VOLT.0089,Resource,33.84031053716865,-97.33329567803683
CSWS.VOLT.0121,Resource,32.86271923226533,-97.05991978339642
CSWS.VOLT.0122,Resource,36.31228482775848,-95.3757915269383
CSWS.VOLT.0124,Resource,36.04413674225866,-96.44426243521417
CSWS.VOLT.0135,Resource,36.08947835859725,-95.45179577419847
CSWS.VOLT.0144,Resource,35.337085737451496,-97.20782040271507
CSWS.VOLT.0145,Resource,35.30414301932615,-97.24306856917579
CSWS.VOLT.0162,Resource,33.13176251157442,-96.73601016176906
CSWS.VOLT.0164,Resource,33.87009548596057,-97.33465462436911
FMPP,Interface,37.78263054240603,-92.00574392190103
FPC,Interface,37.840995240731615,-92.04355445974483
FPL,Interface,37.84234103087372,-92.03616140591166
GRDA.VOLT.0130,Resource,36.257926331476185,-95.20126688944889
HST,Interface,37.80256685015724,-92.00033270167987
JEA,Interface,37.81319913528276,-92.01899929783002
KCPL.VOLT.0107,Resource,39.06806183056411,-95.28779801715231
NSB,Interface,37.82501402723002,-92.02743821534634
OKGE.VOLT.0109,Resource,35.41091816041265,-97.09901564057871
OKGE.VOLT.0110,Resource,35.420458246982456,-97.05773260982073
OKGE.VOLT.0112,Resource,35.36873936741464,-96.91590927716331
OKGE.VOLT.0115,Resource,35.43735835974195,-96.98225969972908
OKGE.VOLT.0116,Resource,34.51678035938551,-101.22482606969214
OKGE.VOLT.0118,Resource,35.36835225211557,-97.06814294649607
OKGE.VOLT.0125,Resource,35.40207561805157,-94.95112233174363
OKGE.VOLT.0126,Resource,36.24252759881526,-95.32941210073311
OKGE.VOLT.0127,Resource,35.906440844076194,-96.88124042531929
OKGE.VOLT.0128,Resource,35.876131106176835,-96.86878985521871
OKGE.VOLT.0129,Resource,35.32455769816651,-96.97105194951278
OKGE.VOLT.0132,Resource,35.533959948398994,-97.06265375866786
OKGE.VOLT.0134,Resource,36.19924980772904,-95.20193956367467
OKGE.VOLT.0138,Resource,36.231592515915935,-95.40843149062842
OKGE.VOLT.0140,Resource,35.50911341564583,-97.06710651296893
OKGE.VOLT.0143,Resource,35.87448263546886,-95.65793062430018
OKGE.VOLT.0149,Resource,35.65619915472894,-97.89767098563459
OKGE.VOLT.0150,Resource,35.723274297994166,-98.02565248432145
OKGE.VOLT.0154,Resource,35.915760946983966,-95.69188740399252
OKGE.VOLT.0155,Resource,35.94502694788553,-95.45417094549225
